epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.0009568849118596328,0.5017224547845553,0.5060963552730418,3.060504635054457e-07,0.0018575494798904128
0.75,0.0009568849118596328,0.5017224788735806,0.5060963552730418,3.174735571086196e-07,0.0018576286295450659
1.0,0.0009568849118596328,0.5017221244207793,0.5060963552730418,3.796609925188646e-07,0.0018576527185703948
1.5,0.0009568849118596328,0.5017229227999046,0.5060963552730418,3.770306083384752e-07,0.0018576389534130638
2.0,0.0009568849118596328,0.5017221037730434,0.5060963552730418,4.288703992189269e-07,0.0018577628398290425
3.0,0.0009568849118596328,0.5017205345451077,0.5060963552730418,4.430168066810673e-07,0.0018576905727530548
4.5,0.0009568849118596328,0.5017242064008257,0.5060963552730418,5.052084358323446e-07,0.0018576114230984021
6.5,0.0009568849118596328,0.501724230489851,0.5060963552730418,6.11962205380015e-07,0.0018576251882557327
9.0,0.0009568849118596328,0.501720558634133,0.5060963552730418,6.636942240491099e-07,0.001857793811433037
12.0,0.0009568849118596328,0.5017352082028224,0.5060963552730418,7.223079694771383e-07,0.0018576561598597275
16.0,0.0009568849118596328,0.5017267804852465,0.5060963552730418,8.703294117030325e-07,0.001857597657941071
20.0,0.0009568849118596328,0.501726391619552,0.5060963552730418,1.0011525295443206e-06,0.0018577146617783842
