epsilon,Non-Private,PrivCom,PrivDPR
0.5,0.42857142857142855,0.4604193971166448,0.45307994757536046
0.75,0.42857142857142855,0.4636959370904325,0.4507208387942333
1.0,0.42857142857142855,0.4520314547837484,0.44783748361730014
1.5,0.42857142857142855,0.46710353866317167,0.48492791612057673
2.0,0.42857142857142855,0.4581913499344692,0.47038007863695935
3.0,0.42857142857142855,0.4686762778505898,0.45517693315858454
4.5,0.42857142857142855,0.4618610747051114,0.4664482306684142
6.5,0.42857142857142855,0.4769331585845348,0.44809960681520317
9.0,0.42857142857142855,0.46474442988204456,0.4538663171690695
12.0,0.42857142857142855,0.44757536041939716,0.4781127129750983
16.0,0.42857142857142855,0.4782437745740499,0.464613368283093
20.0,0.42857142857142855,0.47457404980340756,0.4591087811271297
