epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.012357188884259466,0.36633155372914994,0.0,0.0018592904484458516
0.75,0.012357188884259466,0.36633155372914994,0.0,0.0018590043403352683
1.0,0.012357188884259466,0.36633155372914994,0.0,0.0018566429679534127
1.5,0.012357188884259466,0.36633155372914994,0.0,0.001855438593116433
2.0,0.012357188884259466,0.36633155372914994,0.0,0.001859149367913419
3.0,0.012357188884259466,0.36633155372914994,0.0,0.001860552995670145
4.5,0.012357188884259466,0.36633155372914994,0.0,0.0018555162057161977
6.5,0.012357188884259466,0.36633155372914994,0.0,0.0018529245711388302
9.0,0.012357188884259466,0.36633155372914994,0.0,0.001861251010017185
12.0,0.012357188884259466,0.36633155372914994,0.0,0.0018571530727459807
16.0,0.012357188884259466,0.36633155372914994,0.0,0.0018539150943488463
20.0,0.012357188884259466,0.36633155372914994,0.0,0.0018646995886272978
