epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.6861975670494284,0.07937161958675834,0.8534484109519076,0.0857828532583216
0.75,0.6861975670494284,0.08106073707714768,0.8433804272080578,0.08546651402017783
1.0,0.6861975670494284,0.08214584752178063,0.847269069664903,0.08601026651740103
1.5,0.6861975670494284,0.0804703816181504,0.8754495714911654,0.081070935618164
2.0,0.6861975670494284,0.07997455233594952,0.8590777650310617,0.08579319145284647
3.0,0.6861975670494284,0.07855950158948315,0.8534220513949802,0.08567969502060074
4.5,0.6861975670494284,0.07995061650418728,0.8648145800882576,0.08261420062605715
6.5,0.6861975670494284,0.07905140226526616,0.8782526868905915,0.08583196259401023
9.0,0.6861975670494284,0.08379551453608075,0.8882440335302995,0.08567290743987685
12.0,0.6861975670494284,0.08306749106093436,0.9065554005374477,0.08559371120053824
16.0,0.6861975670494284,0.08296171282109539,0.9154931636250877,0.08114661500623313
20.0,0.6861975670494284,0.07937949772375161,0.9338789236133833,0.08578698616329364
