epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.5191742775433075,0.4932287915922983,0.45763434931605085,0.0,0.0017904365869725962
0.75,0.5191742775433075,0.4932286696736433,0.45763434931605085,0.0,0.0018184177341198735
1.0,0.5191742775433075,0.493229200681358,0.45763434931605085,0.0,0.001800654539861599
1.5,0.5191742775433075,0.4932272809334968,0.45763434931605085,0.0,0.0017934073477213965
2.0,0.5191742775433075,0.49323167619381836,0.45763434931605085,0.0,0.0018601292447731391
3.0,0.5191742775433075,0.49323393228840534,0.45763434931605085,0.0,0.001830215957753915
4.5,0.5191742775433075,0.49322562121998625,0.45763434931605085,0.0,0.0017510151876026648
6.5,0.5191742775433075,0.4932280856854777,0.45763434931605085,0.0,0.0020018870127835138
9.0,0.5191742775433075,0.49322321000094255,0.45763434931605085,0.0,0.0018770835681788441
12.0,0.5191742775433075,0.4932297038541392,0.45763434931605085,0.0,0.0019116255079789633
16.0,0.5191742775433075,0.4932286671369893,0.45763434931605085,0.0,0.0018715983405235934
20.0,0.5191742775433075,0.49321515771619434,0.45763434931605085,0.0,0.0017001083491471499
