epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.010819963503439287,0.5023896160527968,0.45374343600506206,1.5817951635778092e-06,0.0018566009637829086
0.75,0.010819963503439287,0.5023887453936305,0.45374343600506206,1.90773328396756e-06,0.0018566622778087005
1.0,0.010819963503439287,0.5023892726942523,0.45374343600506206,2.1332473646134014e-06,0.0018568584826912343
1.5,0.010819963503439287,0.5023874823246992,0.45374343600506206,2.4946505106025456e-06,0.0018568216942757593
2.0,0.010819963503439287,0.5023916762040634,0.45374343600506206,3.0357829036285464e-06,0.0018568462198860762
3.0,0.010819963503439287,0.5023940061370434,0.45374343600506206,3.9335029366575646e-06,0.0018566868034190173
4.5,0.010819963503439287,0.5023870653893239,0.45374343600506206,5.516317723146113e-06,0.0018567113290293342
6.5,0.010819963503439287,0.502388242618619,0.45374343600506206,6.989853204921544e-06,0.0018567481174448092
9.0,0.010819963503439287,0.5023836440666847,0.45374343600506206,8.780958961726998e-06,0.0018569320595221849
12.0,0.010819963503439287,0.5023899348857308,0.45374343600506206,1.1429873499599404e-05,0.0018567971686654426
16.0,0.010819963503439287,0.502389088752175,0.45374343600506206,1.4681329462709366e-05,0.0018567849058602841
20.0,0.010819963503439287,0.5023758939738245,0.45374343600506206,1.8274791083961082e-05,0.0018567358546396507
