epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,37700,93.1,37745.7,37700.0
0.75,37700,93.1,37730.5,37700.0
1.0,37700,93.1,37722.7,37700.0
1.5,37700,93.1,37715.2,37700.0
2.0,37700,93.1,37711.5,37700.0
3.0,37700,93.1,37707.7,37700.0
4.5,37700,93.1,37704.9,37700.0
6.5,37700,93.1,37703.7,37700.0
9.0,37700,93.1,37702.7,37700.0
12.0,37700,93.1,37701.9,37700.0
16.0,37700,93.1,37701.2,37700.0
20.0,37700,93.1,37701.0,37700.0
