epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.017073172560631417,-0.00013867782231164247,-0.05221671166967982,-0.2232026143790855,-0.0014466662286806073
0.75,0.017073172560631417,-0.00013706454358018447,-0.05221671166967982,-0.22048868854105982,-0.0021942418437141615
1.0,0.017073172560631417,-0.00013976557546307896,-0.05221671166967982,-0.23627203069968752,-0.00402314695814812
1.5,0.017073172560631417,-0.00013568703348050163,-0.05221671166967982,-0.24072469168192512,-0.0006288972017744011
2.0,0.017073172560631417,-0.00013565340769837998,-0.05221671166967982,-0.22463620525336989,-0.0006987994536254069
3.0,0.017073172560631417,-0.0001418290052666266,-0.05221671166967982,-0.27586259245934813,-0.0008357134039456919
4.5,0.017073172560631417,-0.00014543512459449658,-0.05221671166967982,-0.28707823402321303,-0.0006096917931129983
6.5,0.017073172560631417,-0.00013751965263858758,-0.05221671166967982,-0.2634028468887376,-0.001027802346943137
9.0,0.017073172560631417,-0.00013858284272735252,-0.05221671166967982,-0.21710476078023572,-0.0027490991408872386
12.0,0.017073172560631417,-0.00015302611760034568,-0.05221671166967982,-0.18308462769466458,-0.001277497088952855
16.0,0.017073172560631417,-0.0001098650421852868,-0.05221671166967982,-0.15731892559675012,-0.00034016447074314163
20.0,0.017073172560631417,-0.00012540014141896027,-0.05221671166967982,-0.12963693849986058,-0.00032069755463307075
