epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.11056689574171319,0.39661318176675603,0.0,0.001856607928039816
0.75,0.11056689574171319,0.39661318176675603,0.0,0.0018590546964743135
1.0,0.11056689574171319,0.39661318176675603,0.0,0.0018582643677748378
1.5,0.11056689574171319,0.39661318176675603,0.0,0.0018586258707640995
2.0,0.11056689574171319,0.39661318176675603,0.0,0.0018592579557751468
3.0,0.11056689574171319,0.39661318176675603,0.0,0.001857592800217887
4.5,0.11056689574171319,0.39661318176675603,0.0,0.0018590390780100145
6.5,0.11056689574171319,0.39661318176675603,0.0,0.0018594124045498285
9.0,0.11056689574171319,0.39661318176675603,0.0,0.0018597371444161142
12.0,0.11056689574171319,0.39661318176675603,0.0,0.0018579087162197173
16.0,0.11056689574171319,0.39661318176675603,0.0,0.0018590226485806036
20.0,0.11056689574171319,0.39661318176675603,0.0,0.0018584531738552782
