epsilon,Non-Private,PrivCom,PrivDPR
0.5,0.24255341652041396,0.23867021535846583,0.23523442520425702
0.75,0.24255341652041396,0.2360865184699043,0.23053406747674918
1.0,0.24255341652041396,0.23605112912061435,0.23567371198605888
1.5,0.24255341652041396,0.24333580929435902,0.23408609539006459
2.0,0.24255341652041396,0.23962326927634298,0.24095690591139926
3.0,0.24255341652041396,0.2428100861489145,0.23425312430638634
4.5,0.24255341652041396,0.2389906751933874,0.24057444780611092
6.5,0.24255341652041396,0.24048916437240156,0.22923144613060337
9.0,0.24255341652041396,0.2404639360240155,0.2324921367783924
12.0,0.24255341652041396,0.22958936135946634,0.24520147242994755
16.0,0.24255341652041396,0.24338368797026222,0.2419799319409454
20.0,0.24255341652041396,0.24083028090862063,0.23823295062260152
