epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.010815796314560441,-0.10251654864735021,-0.1533333333333344,4.8455759224380904e-05
0.75,0.010815796314560441,-0.10251654864735021,-0.1298237476808918,-0.0002320193496407495
1.0,0.010815796314560441,-0.10251654864735021,-0.1464285714285717,-0.00014552855177684087
1.5,0.010815796314560441,-0.10251654864735021,-0.22324772430257697,0.00017060730873396773
2.0,0.010815796314560441,-0.10251654864735021,-0.22086787976618555,0.00018124879602677099
3.0,0.010815796314560441,-0.10251654864735021,-0.28230932364080646,0.000147134556897139
4.5,0.010815796314560441,-0.10251654864735021,-0.26253865066645343,7.981715370925026e-05
6.5,0.010815796314560441,-0.10251654864735021,-0.2636425768310773,-5.346083884605478e-05
9.0,0.010815796314560441,-0.10251654864735021,-0.21918733658255513,2.539798899819979e-05
12.0,0.010815796314560441,-0.10251654864735021,-0.18086813713791558,-0.00022873781766940865
16.0,0.010815796314560441,-0.10251654864735021,-0.14468101737723768,-4.061698267961468e-05
20.0,0.010815796314560441,-0.10251654864735021,-0.11132237476118005,-0.0001762719547184068
