epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.178622548153384,0.4950810692527708,0.50672375572731,0.0,0.0018671588322536359
0.75,0.178622548153384,0.4950810675662802,0.50672375572731,0.0,0.0018513463330445748
1.0,0.178622548153384,0.49508071080095634,0.50672375572731,0.0,0.0018203520228228967
1.5,0.178622548153384,0.4950815237181832,0.50672375572731,0.0,0.001828146790103194
2.0,0.178622548153384,0.49508063465889923,0.50672375572731,0.0,0.0018400190155542534
3.0,0.178622548153384,0.4950776152315578,0.50672375572731,0.0,0.0018357868555381458
4.5,0.178622548153384,0.4950822123503201,0.50672375572731,0.0,0.0018308383499607262
6.5,0.178622548153384,0.4950825781330879,0.50672375572731,0.0,0.0018694874534749425
9.0,0.178622548153384,0.4950772919810061,0.50672375572731,0.0,0.0018113615735815308
12.0,0.178622548153384,0.4950947385504114,0.50672375572731,0.0,0.001811066183636432
16.0,0.178622548153384,0.49508068880227907,0.50672375572731,0.0,0.0018409210756662625
20.0,0.178622548153384,0.49508280652569836,0.50672375572731,0.0,0.0018495792588818726
