epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.8348200533979873,0.006691500626056228,0.08328347028588445,0.9051003117413152,0.30953597091693197
0.75,0.8348200533979873,0.006579567045451524,0.08687553216338477,0.9163307532278726,0.30956488777541863
1.0,0.8348200533979873,0.006429148634080362,0.08840088463823137,0.9226118224093398,0.3096060702093458
1.5,0.8348200533979873,0.006512832362855032,0.08485569273826482,0.9314724869699302,0.31021658213395026
2.0,0.8348200533979873,0.0065468440521822425,0.08666101725402656,0.9437200983334509,0.31021154343221
3.0,0.8348200533979873,0.006670389227628736,0.08952060840723816,0.9603443476512293,0.3095785476459778
4.5,0.8348200533979873,0.006529287912220958,0.0889379081954619,0.9687964436648325,0.31224111916255665
6.5,0.8348200533979873,0.006766076666146896,0.08891387572589882,0.9740495376455863,0.3104527909654451
9.0,0.8348200533979873,0.006606402280236255,0.08459442732752502,0.9784187335977492,0.3089042153847157
12.0,0.8348200533979873,0.006485952552290947,0.08363405688839019,0.9826178628841404,0.3095837576225444
16.0,0.8348200533979873,0.006227102239904633,0.08657228063878447,0.9861890756420337,0.3092230922908148
20.0,0.8348200533979873,0.006522299648676515,0.08931956506148671,0.9884903639297417,0.3104383806753506
