epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.0004066878203117068,0.42511904544205575,1.2494321345179428e-08,0.0018587955143502671
0.75,0.0004066878203117068,0.42511904544205575,1.4049683090576611e-08,0.0018588370270359457
1.0,0.0004066878203117068,0.42511904544205575,1.5320080836694695e-08,0.001858828443056873
1.5,0.0004066878203117068,0.42511904544205575,1.6732306050771177e-08,0.0018588163410535904
2.0,0.0004066878203117068,0.42511904544205575,1.9126351378154962e-08,0.001858837167756914
3.0,0.0004066878203117068,0.42511904544205575,2.2365431995981422e-08,0.0018588088828422652
4.5,0.0004066878203117068,0.42511904544205575,2.9262295980883015e-08,0.001858816903937464
6.5,0.0004066878203117068,0.42511904544205575,3.784648368143544e-08,0.0018588246435907265
9.0,0.0004066878203117068,0.42511904544205575,4.67126657840697e-08,0.0018588153560068117
12.0,0.0004066878203117068,0.42511904544205575,5.7830435734271784e-08,0.0018588237992649159
16.0,0.0004066878203117068,0.42511904544205575,7.204457470141692e-08,0.0018588118379826019
20.0,0.0004066878203117068,0.42511904544205575,8.499095599135935e-08,0.0018588180297052115
