epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,289003,4790.1,8.9,1320908.7
0.75,289003,4790.1,10.0,1320938.2
1.0,289003,4790.1,10.9,1320932.1
1.5,289003,4790.1,11.9,1320923.5
2.0,289003,4790.1,13.6,1320938.3
3.0,289003,4790.1,15.9,1320918.2
4.5,289003,4790.1,20.8,1320923.9
6.5,289003,4790.1,26.9,1320929.4
9.0,289003,4790.1,33.2,1320922.8
12.0,289003,4790.1,41.1,1320928.8
16.0,289003,4790.1,51.2,1320920.3
20.0,289003,4790.1,60.4,1320924.7
