epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.06357722918564943,-0.0004646526434052718,-0.06869435350021154,-0.11684763649049383,-0.0025083966480142833
0.75,0.06357722918564943,-0.0004561828185240944,-0.06869435350021154,-0.11836926689867903,-0.004891339863838063
1.0,0.06357722918564943,-0.0004575886224518406,-0.06869435350021154,-0.12752831456816927,-0.005701523998789426
1.5,0.06357722918564943,-0.00046884768509786645,-0.06869435350021154,-0.12459491010529013,0.00035660977781278665
2.0,0.06357722918564943,-0.0004654229566516478,-0.06869435350021154,-0.10589182609733434,-0.001729878313894762
3.0,0.06357722918564943,-0.00046452711919756377,-0.06869435350021154,-0.045158925946039145,-0.005616879346403113
4.5,0.06357722918564943,-0.00044995985640176975,-0.06869435350021154,-0.09192656785859778,-0.007317383072592458
6.5,0.06357722918564943,-0.0004496221191560453,-0.06869435350021154,-0.07746502545742233,-0.0052082304137262255
9.0,0.06357722918564943,-0.00045205408976050607,-0.06869435350021154,-0.05831163080928002,-0.0019305795840275776
12.0,0.06357722918564943,-0.00047485149436882993,-0.06869435350021154,-0.02475250351808164,-0.0015802792006746464
16.0,0.06357722918564943,-0.0004731403747741187,-0.06869435350021154,-0.05963271545283466,-0.005613540020246518
20.0,0.06357722918564943,-0.00045142797867479573,-0.06869435350021154,-0.04496416739011583,-0.00124334500251783
