epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.061539278763603336,0.11043614260878504,0.10802946279240355,0.0864403608366309,0.09939632440832184,0.10536607978736952,0.10658774958086009,0.10639601396660232,0.10544760370789341,0.10871028781367338
0.75,0.05272417047692304,0.11043634749130887,0.10802693385480168,0.07609404586451957,0.10789991800264975,0.10700105414600085,0.1065877495808601,0.10639601396660232,0.10696988177684855,0.10870784104523887
1.0,0.05024933963837897,0.11043636397032029,0.10803014524789456,0.07035372135292074,0.10791257556135724,0.10774185698022987,0.10615511197478725,0.10641679037331686,0.1084611051665346,0.10870863137393837
1.5,0.05077797569215679,0.110434514643275,0.10803237079217559,0.06452406566407883,0.10283335200040572,0.08112876270143017,0.10584403821405394,0.10689131266808001,0.10953009547647503,0.10870826987094907
2.0,0.05312127222620679,0.11043290129928289,0.10802763887580259,0.06161189313224934,0.1014704102667065,0.07713409776995832,0.10546551920510938,0.10603838923342872,0.10808590132532217,0.10870763778593803
3.0,0.0575402380909959,0.11041906130377598,0.1080297433498727,0.06166617377310299,0.10204687583227828,0.07501066209036171,0.10196169248649355,0.10404769602019934,0.06726388550352111,0.1087093029414953
4.5,0.0633087037069028,0.11029317923932339,0.10802522910212527,0.05959238150356102,0.10303077939135903,0.07435783782700343,0.1036697485824686,0.099246138989638,0.06163748308670625,0.10870785666370318
6.5,0.0696446716905746,0.10794073787668523,0.1080267011321803,0.05805058874503782,0.10299857495627437,0.07614395386505975,0.09837081157920141,0.0993529571930603,0.07286796782501884,0.10870748333716336
9.0,0.07462443549845083,0.06878179562136232,0.10802691856392083,0.058349985968755944,0.10311928924443559,0.07110565304142652,0.09741616000716886,0.09511458342516815,0.06972938705804353,0.10870715859729708
12.0,0.07749686101724525,0.015218885038782137,0.10804053520874829,0.057441290861525614,0.10315552497178151,0.05848143915310343,0.09744149314837135,0.09677299538566199,0.03250762391102807,0.10870898702549346
16.0,0.07895540732489878,0.0019871570234930853,0.10804376536735089,0.057721365789701266,0.10314609868852821,0.052376011851684036,0.09744149314837133,0.09677299538566199,0.035002885257272603,0.1087078730931326
20.0,0.07949429008169225,0.047138184876552636,0.10803717454127079,0.05805909818292076,0.10314022471107655,0.05684895874916662,0.09744149314837136,0.096772995385662,0.034009664653873686,0.1087084425678579
