epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.10851500373187714,0.17763622235205895,0.1717495061104902,0.1576764428499729,0.0058876509837317076,0.1528016208201431,0.16481560217499014,0.16375884716546016,0.15433067953506,0.17675538932113036
0.75,0.09476039962392653,0.17763501131920564,0.1717491146283071,0.14433259806952764,0.13733709480737144,0.1618898424668195,0.16481560217499014,0.16375884716546016,0.16108521831520503,0.1767712018203394
1.0,0.09036197472168717,0.1776206164068742,0.1717572894567118,0.13402344545600392,0.1606138156994435,0.1650982078683877,0.16455007553735929,0.16324142736448222,0.16421845722788425,0.1768021961305611
1.5,0.08966669154357076,0.17760841008075667,0.17174694514389724,0.1235906518213139,0.16594160743955716,0.16886471466345823,0.16470950586456107,0.16249295584714105,0.17154660665299018,0.17679440136328078
2.0,0.092750425780062,0.17758065148259827,0.17175359735606036,0.12181165090033096,0.16447847994511114,0.1553073041064573,0.16402040031516385,0.16113983303893734,0.17428735825299269,0.17678252913782974
3.0,0.09945438430334946,0.17742993672121593,0.17178321095238555,0.12097465164569818,0.16202004227953698,0.11721598859883758,0.16118190539543395,0.1603647641332459,0.17144441656574053,0.17678676129784582
4.5,0.10855367456668846,0.17582244734474123,0.17176015524852564,0.12279003387581285,0.16074604842502002,0.12011335513704313,0.15543831151468532,0.15780785573441847,0.13200184500689172,0.1767917098034233
6.5,0.11880463309839927,0.15010962620221363,0.17176716498441813,0.12342396778030205,0.1605844619139968,0.11635690225239566,0.1565744300547884,0.16121481106769994,0.11518996025389062,0.17675306069990906
9.0,0.12662372506034095,0.05090940550867219,0.17177708142295878,0.12206262804071964,0.15981059314331786,0.09500428183404716,0.15858860603726463,0.16122118046876496,0.1116773678299586,0.17681118657980244
12.0,0.13144099701380865,0.011630643797985427,0.17176789018106406,0.12188626591222188,0.16130033315553197,0.074845263788156,0.16061011874407286,0.15954930513898877,0.10679592957961365,0.17681148196974755
16.0,0.13379372235141096,0.09286716519175132,0.17175322206979574,0.12190222330720449,0.1609546367403277,0.06294710961279774,0.16061011874407288,0.1595493051389888,0.10911719645982412,0.17678162707771775
20.0,0.1347179264201186,0.07277424934429122,0.17177294266158064,0.12313327687533397,0.16109000707466406,0.04310115705333577,0.16061011874407286,0.1595493051389888,0.1122075225402836,0.17677296889450214
