epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.6207362035732671,0.6321501995286408,0.633811194585225,0.4553810471541487,0.6362894575993006,0.46838956186653374,0.6336967749199427,0.6262516823512971,0.630116816658811
0.75,0.6207362035732671,0.622959533413786,0.632097370599246,0.4863514324593745,0.6306393602233322,0.4675445336533705,0.6410383305855437,0.6310656816554805,0.6392464596711066
1.0,0.6207362035732671,0.6377971408756288,0.6379133490535244,0.44459586082102986,0.6397410932025702,0.40850296737252667,0.6377035588551028,0.6245163897684303,0.6248831929512711
1.5,0.6207362035732671,0.64210430995625,0.6354026930620972,0.4191531986888056,0.6314003923616723,0.38055501515697704,0.6308249698770161,0.6348068347142971,0.6345645312123751
2.0,0.6207362035732671,0.6314450504182147,0.6461997090289487,0.4099169515828036,0.6243946345731605,0.42500616010706005,0.6423887116295612,0.6387744037690061,0.6283910118587144
3.0,0.6207362035732671,0.6355603206331804,0.6254966020493872,0.45050521096048723,0.6305858761484772,0.393364792390479,0.6197349432574266,0.6325428491641806,0.6415179523237841
4.5,0.6207362035732671,0.6330637881485323,0.6306392800933294,0.49641946742122584,0.6356322535861977,0.4800630345707028,0.6402837460042258,0.6328684284037225,0.6265613299917961
6.5,0.6207362035732671,0.6424977696085091,0.6338346935260782,0.4325737432251416,0.6334106955440124,0.44415002013702465,0.638955025102735,0.6214231534066944,0.6380307991168434
9.0,0.6207362035732671,0.639167628660389,0.6277329208650427,0.43666439273519203,0.6396263809891618,0.41020755256298025,0.6342408046743442,0.6368625403785793,0.6334987516631423
12.0,0.6207362035732671,0.6397365794523938,0.6380610121701102,0.46558070180012134,0.6323335298318999,0.42160264585845203,0.6313265929097571,0.6502652006103955,0.6328868367731303
16.0,0.6207362035732671,0.6345128615485708,0.6319354986576925,0.43949964703457595,0.6208796021983809,0.41353774355458295,0.6340014907246267,0.6315645587560188,0.6280519895725092
20.0,0.6207362035732671,0.642387261665605,0.6141611437038953,0.433829469264281,0.6332359767393486,0.4743537295864066,0.6347870573941967,0.6282985991916162,0.6373571367109685
