epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.42857142857142855,0.4106159895150721,0.48335517693315855,0.2330275229357798,0.4655307994757536,0.30668414154652685,0.46657929226736566,0.46055045871559624,0.47103538663171696
0.75,0.42857142857142855,0.4756225425950196,0.4520314547837484,0.27719528178243774,0.471821756225426,0.3142857142857143,0.46146788990825693,0.4636959370904325,0.46343381389252947
1.0,0.42857142857142855,0.446788990825688,0.4508519003931848,0.3174311926605504,0.4608125819134994,0.32948885976408915,0.47300131061598955,0.46618610747051115,0.462778505897772
1.5,0.42857142857142855,0.46120576671035385,0.4643512450851901,0.2778505897771953,0.48125819134993447,0.30720838794233285,0.4505897771952818,0.45386631716906956,0.43460026212319797
2.0,0.42857142857142855,0.445740498034076,0.44377457404980347,0.3381389252948886,0.462778505897772,0.2981651376146789,0.47313237221494103,0.4560943643512452,0.4547837483617301
3.0,0.42857142857142855,0.44403669724770645,0.47706422018348615,0.26788990825688075,0.452948885976409,0.33066841415465265,0.47313237221494103,0.4622542595019659,0.4576671035386632
4.5,0.42857142857142855,0.4719528178243775,0.47103538663171685,0.309305373525557,0.4693315858453474,0.3249017038007864,0.4655307994757536,0.46644823066841423,0.46290956749672346
6.5,0.42857142857142855,0.4690694626474443,0.4526867627785059,0.35386631716906947,0.4829619921363041,0.30458715596330277,0.45373525557011796,0.4588466579292267,0.4592398427260812
9.0,0.42857142857142855,0.4480996068152033,0.38741808650065535,0.31913499344692003,0.4558322411533421,0.29148099606815203,0.45740498034076016,0.4715596330275229,0.45570117955439055
12.0,0.42857142857142855,0.4625163826998689,0.4677588466579293,0.30275229357798167,0.45871559633027525,0.3290956749672346,0.4564875491480996,0.4653997378768021,0.45150720838794234
16.0,0.42857142857142855,0.47208387942332897,0.46107470511140236,0.3262123197903014,0.4732634338138925,0.30733944954128445,0.46788990825688076,0.4597640891218872,0.4595019659239843
20.0,0.42857142857142855,0.45412844036697253,0.4162516382699869,0.2939711664482307,0.4509829619921364,0.29148099606815203,0.47169069462647445,0.4580602883355177,0.4504587155963303
