epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.0007494408654145689,0.023465614720822654,0.0006669573246315043,0.0013290246682942616
0.75,0.0007494415676105909,0.023465614720822654,0.0006669573124035534,0.0013297385176638057
1.0,0.0007494412426620725,0.023465614720822654,0.0006669572942182959,0.0013297937433928665
1.5,0.0007494414939562467,0.023465614720822654,0.0006669572607871227,0.0013308190950263453
2.0,0.0007494410371588734,0.023465614720822654,0.0006669572183882722,0.001331248084856753
3.0,0.000749439929972134,0.023465614720822654,0.0006669572179547852,0.0013298445536301423
4.5,0.0007494413345347731,0.023465614720822654,0.00066695706335996,0.0013298502917677053
6.5,0.0007494419477542464,0.023465614720822654,0.0006669568994068604,0.0013299412226733338
9.0,0.0007494424893263435,0.023465614720822654,0.0006669567293218914,0.0013292225271834953
12.0,0.0007494415914043593,0.023465614720822654,0.0006669563438194957,0.0013300548114031738
16.0,0.000749442395250139,0.023465614720822654,0.0006669560065263286,0.0013303627022375445
20.0,0.000749443312789827,0.023465614720822654,0.0006669554203211209,0.0013303656666783827
