epsilon,PrivDPR
0.5,0.03596816976127324
0.75,0.03517241379310347
1.0,0.033342175066313026
1.5,0.03625994694960214
2.0,0.02633952254641909
3.0,0.030822281167108768
4.5,0.03143236074270558
6.5,0.025968169761273197
9.0,0.02135278514588861
12.0,0.027692307692307717
16.0,0.02877984084880636
20.0,0.02249336870026527
