epsilon,pi_v,pi_e,PrivDPR
0.5,0.11333234496191065,0.16414912964789483,0.01076734055533606
0.75,0.11333234496191065,0.14063954399545225,0.011047815664201191
1.0,0.11333234496191065,0.15724436774313214,0.010961324866337283
1.5,0.11333234496191065,0.23406352061713742,0.010645189005826474
2.0,0.11333234496191065,0.231683676080746,0.01063454751853367
3.0,0.11333234496191065,0.29312511995536694,0.010668661757663301
4.5,0.11333234496191065,0.27335444698101385,0.01073597916085119
6.5,0.11333234496191065,0.2744583731456377,0.010869257153406496
9.0,0.11333234496191065,0.23000313289711558,0.01079039832556224
12.0,0.11333234496191065,0.19168393345247603,0.01104453413222985
16.0,0.11333234496191065,0.15549681369179813,0.010856413297240056
20.0,0.11333234496191065,0.1221381710757405,0.010992068269278848
