epsilon,pi_v,pi_e,PrivDPR
0.5,0.35320528144996804,0.1723259274461331,0.17208420713118053
0.75,0.35320528144996804,0.1723259274461331,0.17208518153108027
1.0,0.35320528144996804,0.1723259274461331,0.17208496694631506
1.5,0.35320528144996804,0.1723259274461331,0.17208420333386445
2.0,0.3532052814499681,0.1723259274461331,0.17208463976941918
3.0,0.35320528144996804,0.1723259274461331,0.17208528454860234
4.5,0.35320528144996804,0.1723259274461331,0.17208461694002103
6.5,0.35320528144996804,0.1723259274461331,0.17208591092242856
9.0,0.35320528144996804,0.1723259274461331,0.17208465092636516
12.0,0.35320528144996804,0.1723259274461331,0.17208523413789387
16.0,0.35320528144996804,0.1723259274461331,0.17208527272928698
20.0,0.35320528144996804,0.1723259274461331,0.1720845178029243
