epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,45.43172926536256,0.9694414851417822,0.9998503978058345,0.8284096833420224
0.75,45.4316487975157,0.9694414851417822,0.9998209307069837,0.8284040165922434
1.0,45.4316975315638,0.9694414851417822,0.9998005304077793,0.8283858829929505
1.5,45.431532062470254,0.9694414851417822,0.9997676632590611,0.8283892830428179
2.0,45.43191966815513,0.9694414851417822,0.999717795861006,0.8283870163429065
3.0,45.43213500464673,0.9694414851417822,0.9996350613142326,0.8284017498923317
4.5,45.43149352857175,0.9694414851417822,0.9994888591699345,0.8283994831924202
6.5,45.43160233016751,0.9694414851417822,0.9993528571752386,0.8283960831425528
9.0,45.43117732393408,0.9694414851417822,0.9991873880816918,0.8283790828932158
12.0,45.43175873246141,0.9694414851417822,0.9989425844912392,0.8283915497427297
16.0,45.431680531314456,0.9694414851417822,0.9986422467529523,0.8283926830926853
20.0,45.43046104676202,0.9694414851417822,0.9983101752159032,0.8283972164925085
