epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,1.937390725603186,3.348581916216709,1527.9719566602932,201.56718792026126
0.75,1.9370233271033892,3.348581916216709,1569.63862332696,200.63619642637505
1.0,1.9367467652067252,3.348581916216709,1465.2169566602934,204.03040429453029
1.5,1.936654598358626,3.348581916216709,1307.01362332696,206.05496569803904
2.0,1.9366568879700854,3.34858191621671,1238.2519566602934,205.2420736193575
3.0,1.9372073048225544,3.34858191621671,1257.35362332696,191.82168552791683
4.5,1.9356484117792192,3.348581916216709,1000.4436233269598,203.7236525667259
6.5,1.9368391917180325,3.34858191621671,909.544099517436,197.8248168410481
9.0,1.9372979638358934,3.348581916216709,802.2064011047376,199.95060631473228
12.0,1.936652846358441,3.348581916216709,751.901837612674,205.11017037640164
16.0,1.9374797435900946,3.34858191621671,649.1570360253725,200.33337912290557
20.0,1.936570094894235,3.348581916216709,595.8862423745788,207.3371879202613
