epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.36610115389921155,0.3617040859379047,0.21941842432708603,0.217552171207664
0.75,0.366101149902227,0.3617040859379047,0.21941842432708597,0.21754911773453753
1.0,0.3661009207111988,0.3617040859379047,0.21941842432708597,0.21760559847192112
1.5,0.3661014471531007,0.3617040859379048,0.21941842432708597,0.21760270071703697
2.0,0.36610085152119953,0.36170408593790476,0.21941842432708597,0.21759314046936903
3.0,0.36609865824854587,0.36170408593790476,0.21941842432708597,0.21758262080580293
4.5,0.36610192963467947,0.36170408593790476,0.21941842432708597,0.21759071698835375
6.5,0.3661022005581406,0.36170408593790476,0.21941842432708597,0.21754807472269802
9.0,0.3660983406365493,0.3617040859379047,0.21941842432708597,0.21759392664883892
12.0,0.36611052925073284,0.36170408593790476,0.21941842432708597,0.21761537640669298
16.0,0.3661003156066263,0.3617040859379048,0.21941842432708597,0.21756904860567042
20.0,0.36610217247480276,0.3617040859379047,0.21941842432708597,0.21757745060240685
