epsilon,pi_v,pi_e,PrivDPR
0.5,0.30207109849811264,0.16753704480107579,0.16630125249930494
0.75,0.30207109849811264,0.1675370448010758,0.16630172167863327
1.0,0.30207109849811264,0.1675370448010758,0.1663028630032841
1.5,0.3020710984981126,0.1675370448010758,0.16630424099984592
2.0,0.30207109849811264,0.1675370448010758,0.1663023461473404
3.0,0.30207109849811264,0.1675370448010758,0.16630096316817777
4.5,0.30207109849811264,0.1675370448010758,0.16630377957120518
6.5,0.30207109849811264,0.1675370448010758,0.16630674120330308
9.0,0.30207109849811264,0.1675370448010758,0.1663006824948944
12.0,0.30207109849811264,0.1675370448010758,0.1663036610500906
16.0,0.30207109849811264,0.1675370448010758,0.16630427293931793
20.0,0.30207109849811264,0.1675370448010758,0.16629811990520812
