epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.8096401563655796,0.7134535168489281,0.06664963969543433,0.6206803245548105
0.75,0.8095465644801756,0.7145743996841447,0.06839829870283462,0.6195962955566433
1.0,0.8096073964915856,0.7106845940091981,0.07182554359419695,0.6199726060646628
1.5,0.8096478130520568,0.7188676060981375,0.04913803216018211,0.6215239780766622
2.0,0.8095987633211763,0.7113507010805992,0.045759659903023664,0.6224293013853863
3.0,0.8096180718039566,0.7120769815606807,0.04441867015117369,0.620064619832853
4.5,0.8095953637175389,0.7129675040553405,0.05415435290611007,0.6196201064123584
6.5,0.8096411558128518,0.7115755717723298,0.06706490391547561,0.6205262010434485
9.0,0.809640931898671,0.7121807692079314,0.08280289186222231,0.6193956483738244
12.0,0.8096620461771655,0.7103681554629102,0.08751799907968849,0.6217330031071235
16.0,0.8096040292274788,0.7114345372324764,0.09021826170913509,0.6197901759332096
20.0,0.8097865456881509,0.7110755894735502,0.10488178930610718,0.6231259785217891
