epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.5007655698726957,0.5051394703611821,0.0009565788613961273,0.00090066456803078
0.75,0.500765593961721,0.5051394703611821,0.0009565674383025241,0.000900743717685433
1.0,0.5007652395089197,0.5051394703611821,0.0009565052508671139,0.000900767806710762
1.5,0.500766037888045,0.5051394703611821,0.0009565078812512944,0.000900754041553431
2.0,0.5007652188611837,0.5051394703611821,0.0009564560414604139,0.0009008779279694094
3.0,0.500763649633248,0.5051394703611821,0.0009564418950529518,0.0009008056608934221
4.5,0.5007673214889661,0.5051394703611821,0.0009563797034238004,0.0009007265112387691
6.5,0.5007673455779914,0.5051394703611821,0.0009562729496542528,0.0009007402763961002
9.0,0.5007636737222734,0.5051394703611821,0.0009562212176355836,0.000900908899573404
12.0,0.5007783232909627,0.5051394703611821,0.0009561626038901555,0.0009007712480000948
16.0,0.5007698955733869,0.5051394703611821,0.0009560145824479298,0.0009007127460814383
20.0,0.5007695067076924,0.5051394703611821,0.0009558837593300884,0.0009008297499187512
