epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.0,0.9871196222455405,0.005836831059811123,0.0
0.75,0.0,0.9871196222455405,0.003895592864637985,0.0
1.0,0.0,0.9871196222455405,0.0029249737670514167,0.0
1.5,0.0,0.9871196222455405,0.0019281217208814271,0.0
2.0,0.0,0.9871196222455405,0.0014690451206715634,0.0
3.0,0.0,0.9871196222455405,0.0009968520461699896,0.0
4.5,0.0,0.9871196222455405,0.0006295907660020986,0.0
6.5,0.0,0.9871196222455405,0.000472193074501574,0.0
9.0,0.0,0.9871196222455405,0.0003541448058761805,0.0
12.0,0.0,0.9871196222455405,0.0002492130115424974,0.0
16.0,0.0,0.9871196222455405,0.00017051416579223506,0.0
20.0,0.0,0.9871196222455405,0.00013116474291710389,0.0
