epsilon,pi_v,pi_e,PrivDPR
0.5,0.3302730443217281,0.11056689574171319,0.10871028781367338
0.75,0.3302730443217281,0.11056689574171319,0.10870784104523887
1.0,0.3302730443217281,0.11056689574171319,0.10870863137393835
1.5,0.3302730443217281,0.11056689574171319,0.10870826987094909
2.0,0.3302730443217281,0.11056689574171319,0.10870763778593803
3.0,0.3302730443217281,0.11056689574171319,0.1087093029414953
4.5,0.3302730443217281,0.11056689574171319,0.10870785666370317
6.5,0.3302730443217281,0.11056689574171319,0.10870748333716336
9.0,0.3302730443217281,0.11056689574171319,0.10870715859729707
12.0,0.3302730443217281,0.11056689574171319,0.10870898702549348
16.0,0.3302730443217281,0.11056689574171319,0.1087078730931326
20.0,0.3302730443217281,0.11056689574171319,0.10870844256785792
