epsilon,PrivCom,PrivDPR
0.5,0.00981196415949089,0.010695485857003606
0.75,0.007295839831755591,0.012331122631278618
1.0,0.010835757913346252,0.010553607508584032
1.5,0.007724721072486268,0.012566728384769188
2.0,0.007299683988690725,0.007935054411637384
3.0,0.004697629609232696,0.013367061571586769
4.5,0.007612843676153577,0.00789565005883217
6.5,0.002906269185532576,0.01837325895428174
9.0,0.009770829103328335,0.010061279742021537
12.0,0.01506039314336446,0.007782755065179697
16.0,0.00523189977005929,0.009403099228363538
20.0,0.00979022451586951,0.010945186235232562
