epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.02594548595100916,0.06881618382970627,0.5191742775433075,0.5173838409563348
0.75,0.02594560786966412,0.06881618382970627,0.5191742775433075,0.5173558598091876
1.0,0.025945076861949412,0.06881618382970627,0.5191742775433075,0.5173736230034459
1.5,0.025946996609810653,0.06881618382970627,0.5191742775433075,0.5173808701955861
2.0,0.025942601349489135,0.06881618382970627,0.5191742775433075,0.5173141482985344
3.0,0.025940345254902096,0.06881618382970627,0.5191742775433075,0.5173440615855536
4.5,0.025948656323321224,0.06881618382970627,0.5191742775433075,0.5174232623557048
6.5,0.02594619185782977,0.06881618382970627,0.5191742775433075,0.517172390530524
9.0,0.025951067542364915,0.06881618382970627,0.5191742775433075,0.5172971939751286
12.0,0.02594457368916822,0.06881618382970627,0.5191742775433075,0.5172626520353285
16.0,0.02594561040631812,0.06881618382970627,0.5191742775433075,0.5173026792027839
20.0,0.02595911982711313,0.06881618382970627,0.5191742775433075,0.5174741691941603
