epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.7267659045870133,0.7271945969121605,769150.7987747453,0.2709994779948427
0.75,0.7267659089688078,0.7271945969121605,802977.9005235839,0.2710499449254101
1.0,0.726765844478855,0.7271945969121605,630104.6575234171,0.2710537199255959
1.5,0.7267659897370599,0.7271945969121605,546088.6627787917,0.27110441957209075
2.0,0.7267658407249058,0.7271945969121605,471742.48470996803,0.27103520560461003
3.0,0.7267655551056076,0.7271945969121605,457299.5902922765,0.2709395229542416
4.5,0.7267662232238875,0.7271945969121605,397599.2496815503,0.2710525279679621
6.5,0.726766227735449,0.7271945969121605,283858.9926607679,0.27096110672782187
9.0,0.7267655595576598,0.7271945969121605,274598.2392397169,0.2710972602471099
12.0,0.7267682249237192,0.7271945969121605,241705.70028049764,0.27108450989727406
16.0,0.7267666917391205,0.7271945969121605,189085.8822993887,0.27105236561870283
20.0,0.7267666208410576,0.7271945969121605,161624.1244472507,0.2710201852490895
