epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.5918793010514738,0.5909259658193922,199509.46816704684,0.2854359157083822
0.75,0.5918790645456027,0.5909259658193922,182793.6640610032,0.28558720894921596
1.0,0.5918792077972066,0.5909259658193922,160023.11906316114,0.28519818525999907
1.5,0.5918787213773037,0.5909259658193922,128508.45949343014,0.2855301454389762
2.0,0.5918798607182891,0.5909259658193922,102486.10590929372,0.28549437022332713
3.0,0.5918804940853374,0.5909259658193922,76463.58262885813,0.2853396779978283
4.5,0.5918786080703387,0.5909259658193922,51906.33834603025,0.2853062579052354
6.5,0.591878927925905,0.5909259658193922,39991.27092850277,0.28555533235362013
9.0,0.5918776788029063,0.5909259658193922,31359.626886667626,0.2851713945498412
12.0,0.5918793875786388,0.5909259658193922,23598.71470101023,0.28557414068822723
16.0,0.5918791577077279,0.5909259658193922,18173.230641955357,0.2852150954952325
20.0,0.5918755732704781,0.5909259658193922,14451.705911401488,0.28527163715785253
