epsilon,pi_v,pi_e,PrivDPR
0.5,0.9965545268546979,0.999957025009576,13.719809602107642
0.75,0.9965545268546979,0.9999551565317315,13.719839497753156
1.0,0.9965545268546979,0.9999593606068815,13.719951139304365
1.5,0.9965545268546979,0.9999462812619699,13.719920776539391
2.0,0.9965545268546979,0.9999504853371202,13.719938527078915
3.0,0.9965545268546979,0.9999383402311308,13.719795588523809
4.5,0.9965545268546979,0.9999322676781361,13.719792318687581
6.5,0.9965545268546979,0.999917786974841,13.7199819691888
9.0,0.9965545268546979,0.9998972337185512,13.71990723007502
12.0,0.9965545268546979,0.9998832201347172,13.719811470585489
16.0,0.9965545268546979,0.9998617326395053,13.719904894477713
20.0,0.9965545268546979,0.9998407122637543,13.719918440942086
