epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.391569387188882,0.3784069804515004,0.2761661354786574,0.04904088318288747
0.75,0.39156900484440427,0.37840698045150034,0.27616578862133345,0.04906251180918829
1.0,0.39156923856841475,0.3784069804515004,0.2761655361627268,0.04902093874724484
1.5,0.3915684419260391,0.37840698045150034,0.27616512034539664,0.04907272212894055
2.0,0.3915703097664929,0.37840698045150034,0.27616452674819997,0.049046506960714366
3.0,0.3915713567439182,0.37840698045150034,0.27616364515109737,0.049036832473025135
4.5,0.3915682548024463,0.3784069804515004,0.27616182950753443,0.0490115679753082
6.5,0.3915687786211873,0.37840698045150034,0.27616011885314473,0.04903015310281515
9.0,0.39156672928343256,0.3784069804515004,0.27615810966599574,0.04901953553743267
12.0,0.3915695253617843,0.3784069804515004,0.27615506080010344,0.049069880718094205
16.0,0.39156915013983606,0.3784069804515004,0.276151390129092,0.04899211291140475
20.0,0.39156328510123484,0.3784069804515004,0.2761471924620039,0.04900670592524881
