epsilon,pi_v,pi_e,PrivDPR
0.5,0.9834254315699145,0.9999692044719259,3.5705708937277465
0.75,0.9834254315699145,0.9999653982830627,3.5706729687927115
1.0,0.9834254315699145,0.9999622841285385,3.5706518617453797
1.5,0.9834254315699145,0.9999588239568448,3.5706221042688133
2.0,0.9834254315699145,0.9999529416649654,3.5706733148098806
3.0,0.9834254315699145,0.9999449832700698,3.570603765358837
4.5,0.9834254315699145,0.9999280284287707,3.570623488337491
6.5,0.9834254315699145,0.9999069213814389,3.5706425192818068
9.0,0.9834254315699145,0.9998851222997684,3.570619682148628
12.0,0.9834254315699145,0.999857786943388,3.57064044317879
16.0,0.9834254315699145,0.9998228392092816,3.5706110317193938
20.0,0.9834254315699145,0.9997910056296992,3.5706262564748465
