epsilon,pi_v,pi_e,PrivDPR
0.5,0.18499519139869228,0.05888650731753818,0.0750950501401
0.75,0.18499519139869228,0.08012589239963418,0.07495929205708286
1.0,0.18499519139869228,0.08957759900458781,0.07506909781462727
1.5,0.18499519139869228,0.1892073302854194,0.07514601213772495
2.0,0.18499519139869228,0.13777383850328592,0.07544997195755292
3.0,0.18499519139869228,0.13797427291185108,0.07474139384714035
4.5,0.18499519139869228,0.12738084921990217,0.07514502828735699
6.5,0.18499519139869228,0.11090026559989684,0.07481389903665533
9.0,0.18499519139869228,0.08653528872873426,0.0749290763653717
12.0,0.18499519139869228,0.06667448615742898,0.07507858636916306
16.0,0.18499519139869228,0.033281546033532665,0.07533877174177844
20.0,0.18499519139869228,0.021893688515557737,0.07480174256271073
