epsilon,pi_v,pi_e,PrivDPR
0.5,0.42479369518580634,0.0004066753259903616,0.0014521076940385601
0.75,0.42479369518580634,0.00040667377062861623,0.0014521492067242389
1.0,0.42479369518580634,0.00040667250023087003,0.0014521406227451664
1.5,0.42479369518580634,0.000406671088005656,0.0014521285207418837
2.0,0.42479369518580634,0.00040666869396032866,0.0014521493474452074
3.0,0.42479369518580634,0.0004066654548797108,0.0014521210625305584
4.5,0.42479369518580634,0.0004066585580157259,0.0014521290836257575
6.5,0.42479369518580634,0.0004066499738280253,0.0014521368232790195
9.0,0.42479369518580634,0.0004066411076459227,0.001452127535695105
12.0,0.42479369518580634,0.0004066299898759725,0.001452135978953209
16.0,0.42479369518580634,0.0004066157757370054,0.0014521240176708949
20.0,0.42479369518580634,0.00040660282935571545,0.0014521302093935047
