epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.3164585210993868,0.3281012075739261,0.178622548153384,0.17675538932113036
0.75,0.31645851941289616,0.3281012075739261,0.178622548153384,0.1767712018203394
1.0,0.31645816264757237,0.3281012075739261,0.178622548153384,0.17680219613056108
1.5,0.3164589755647992,0.3281012075739261,0.178622548153384,0.17679440136328078
2.0,0.3164580865055152,0.3281012075739261,0.178622548153384,0.17678252913782974
3.0,0.3164550670781738,0.3281012075739261,0.178622548153384,0.17678676129784585
4.5,0.31645966419693605,0.3281012075739261,0.178622548153384,0.17679170980342326
6.5,0.31646002997970396,0.3281012075739261,0.178622548153384,0.17675306069990904
9.0,0.31645474382762206,0.3281012075739261,0.178622548153384,0.17681118657980247
12.0,0.31647219039702745,0.3281012075739261,0.178622548153384,0.17681148196974755
16.0,0.3164581406488951,0.3281012075739261,0.178622548153384,0.17678162707771775
20.0,0.31646025837231434,0.3281012075739261,0.178622548153384,0.1767729688945021
