epsilon,pi_v,pi_e,PrivDPR
0.5,0.3589172403985943,0.012357188884259466,0.010497898435813615
0.75,0.3589172403985943,0.012357188884259466,0.010498184543924198
1.0,0.3589172403985943,0.012357188884259466,0.010500545916306054
1.5,0.3589172403985943,0.012357188884259466,0.010501750291143034
2.0,0.3589172403985943,0.012357188884259466,0.010498039516346046
3.0,0.3589172403985943,0.012357188884259466,0.010496635888589321
4.5,0.3589172403985943,0.012357188884259466,0.010501672678543269
6.5,0.3589172403985943,0.012357188884259466,0.010504264313120636
9.0,0.3589172403985943,0.012357188884259466,0.010495937874242281
12.0,0.3589172403985943,0.012357188884259466,0.010500035811513484
16.0,0.3589172403985943,0.012357188884259466,0.01050327378991062
20.0,0.3589172403985943,0.012357188884259466,0.010492489295632169
