epsilon,pi_v,pi_e,PrivDPR
0.5,0.49907971132401274,0.00012627783057967494,0.0017325821302207913
0.75,0.49907971132401274,0.00012627759193922674,0.0017325859055400332
1.0,0.49907971132401274,0.00012627812091898556,0.0017326000039978272
1.5,0.49907971132401274,0.00012627646870120283,0.0017325961696892222
2.0,0.49907971132401274,0.00012627699853227714,0.0017325984112850222
3.0,0.49907971132401274,0.00012627546436748174,0.0017325803605398968
4.5,0.49907971132401274,0.00012627469690421918,0.0017325799476143543
6.5,0.49907971132401274,0.00012627286806383243,0.0017326038972957955
9.0,0.49907971132401274,0.00012627027243463762,0.0017325944589976906
12.0,0.49907971132401274,0.00012626850252685072,0.0017325823661782438
16.0,0.49907971132401274,0.0001262657888804076,0.0017325941640508747
20.0,0.49907971132401274,0.00012626313417267722,0.0017325958747424063
