epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.0005510408756456286,0.016440911384824022,0.0005552659706591537,0.0005208900682412091
0.75,0.0005510408107461672,0.016440911384824022,0.0005552659661687373,0.0005204443296220784
1.0,0.0005510408336649564,0.016440911384824022,0.0005552659643495912,0.0005205743336243882
1.5,0.0005510407722035377,0.016440911384824022,0.0005552659602725778,0.0005197678824961922
2.0,0.0005510409015278627,0.016440911384824022,0.0005552659571010566,0.0005206755125754147
3.0,0.000551041020895559,0.016440911384824022,0.0005552659512242628,0.0005216526773443306
4.5,0.0005510407310197472,0.016440911384824022,0.0005552659430878377,0.0005203402096961669
6.5,0.0005510411109487045,0.016440911384824022,0.0005552659340494603,0.0005215708614795551
9.0,0.0005510410155349801,0.016440911384824022,0.0005552659331324592,0.0005206375069468077
12.0,0.0005510390794587748,0.016440911384824022,0.0005552659240947698,0.0005203054984143467
16.0,0.0005510412738424504,0.016440911384824022,0.00055526588889296,0.0005200308270432387
20.0,0.0005510403158091712,0.016440911384824026,0.0005552658807516837,0.0005211628600845517
