epsilon,PrivCom,PrivDPR
0.5,0.03315858453473135,0.030537352555701197
0.75,0.035910878112713,0.0342070773263434
1.0,0.02581913499344694,0.02450851900393186
1.5,0.04377457404980342,0.056356487549148127
2.0,0.034076015727391884,0.04574049803407604
3.0,0.04587155963302754,0.0307994757536042
4.5,0.040366972477064236,0.039187418086500676
6.5,0.04836173001310618,0.040235910878112735
9.0,0.03826998689384012,0.035517693315858474
12.0,0.01900393184796857,0.049541284403669755
16.0,0.050720838794233315,0.044167758846657953
20.0,0.05307994757536044,0.03709043250327655
