epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.4730509416768448,0.4747831597970742,0.19438534512663275,0.07853554840524614
0.75,0.47305095178579826,0.4747831597970741,0.19438532090314178,0.07855303757130619
1.0,0.4730507940021704,0.4747831597970742,0.19438525409898272,0.07855661760767617
1.5,0.4730511503067699,0.4747831597970742,0.194385242458812,0.07856955399455612
2.0,0.4730507841543242,0.4747831597970742,0.19438518002526387,0.0785480959516571
3.0,0.4730500831724368,0.4747831597970742,0.19438514888542438,0.07851613464799533
4.5,0.4730517246664651,0.4747831597970741,0.19438505827699484,0.07855527556876625
6.5,0.47305172972232185,0.4747831597970741,0.1943849208222908,0.07852212615782696
9.0,0.4730500946583721,0.4747831597970742,0.19438486500835847,0.07857049564247129
12.0,0.4730566313925325,0.4747831597970742,0.19438477021888273,0.07856452356481605
16.0,0.4730528642429307,0.4747831597970742,0.1943844923648382,0.07855596337616241
20.0,0.4730526974458983,0.4747831597970741,0.1943843295932951,0.07854272711787114
