epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.01721185038294306,0.06928988423031122,0.2402757869397169,0.018519838789312022
0.75,0.0172102371042116,0.06928988423031122,0.23756186110169122,0.019267414404345578
1.0,0.017212938136094497,0.06928988423031122,0.2533452032603189,0.02109631951877954
1.5,0.01720885959411192,0.06928988423031122,0.2577978642425565,0.01770206976240582
2.0,0.017208825968329795,0.06928988423031122,0.24170937781400134,0.017771972014256822
3.0,0.017215001565898044,0.06928988423031122,0.29293576501997953,0.01790888596457711
4.5,0.017218607685225915,0.06928988423031122,0.30415140658384443,0.017682864353744415
6.5,0.017210692213270005,0.06928988423031122,0.280476019449369,0.018100974907574556
9.0,0.01721175540335877,0.06928988423031122,0.23417793334086712,0.019822271701518658
12.0,0.017226198678231764,0.06928988423031122,0.200157800255296,0.018350669649584272
16.0,0.017183037602816705,0.06928988423031122,0.17439209815738152,0.01741333703137456
20.0,0.01719857270205038,0.06928988423031122,0.14671011106049198,0.017393870115264488
