epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.06404188182905471,0.13227158268586098,0.18042486567614327,0.0660856258336637
0.75,0.06403341200417352,0.13227158268586098,0.18194649608432845,0.06846856904948749
1.0,0.06403481780810126,0.13227158268586098,0.1911055437538187,0.06927875318443885
1.5,0.06404607687074729,0.13227158268586098,0.18817213929093957,0.06322061940783665
2.0,0.06404265214230107,0.13227158268586098,0.1775630043528394,0.06530710749954419
3.0,0.06404175630484699,0.13227158268586098,0.16425764440980956,0.06919410853205253
4.5,0.06402718904205121,0.13227158268586098,0.1555037970442472,0.07089461225824188
6.5,0.06402685130480547,0.13227158268586098,0.14104225464307177,0.06878545959937565
9.0,0.06402928327540994,0.13227158268586098,0.12393168387790135,0.065507808769677
12.0,0.06405208068001825,0.13227158268586098,0.10979497285029709,0.06515750838632407
16.0,0.06405036956042355,0.13227158268586098,0.12425262211725208,0.06919076920589594
20.0,0.06402865716432422,0.13227158268586098,0.10854139657576525,0.06482057418816725
