epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.4915696525493575,0.44508746520231063,0.010818381708275709,0.008963362539656378
0.75,0.49156878189019126,0.44508746520231063,0.010818055770155318,0.008963301225630587
1.0,0.4915693091908131,0.44508746520231063,0.010817830256074672,0.008963105020748052
1.5,0.49156751882125993,0.44508746520231063,0.010817468852928685,0.008963141809163527
2.0,0.4915717127006241,0.44508746520231063,0.01081692772053566,0.008963117283553212
3.0,0.49157404263360416,0.44508746520231063,0.01081603000050263,0.00896327670002027
4.5,0.4915671018858846,0.44508746520231063,0.01081444718571614,0.008963252174409953
6.5,0.49156827911517975,0.44508746520231063,0.010812973650234366,0.008963215385994478
9.0,0.49156368056324534,0.44508746520231063,0.01081118254447756,0.008963031443917103
12.0,0.49156997138229164,0.44508746520231063,0.010808533629939688,0.008963166334773846
16.0,0.4915691252487357,0.44508746520231063,0.010805282173976577,0.008963178597579002
20.0,0.49155593047038526,0.44508746520231063,0.010801688712355326,0.008963227648799636
